ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10749,MATH,1220,600,Lecture,"3","Raul Hernandez, -","MoWe 3:30pm - 4:45pm","Chemistry Bldg 206","A Survey of Calculus II","",Open,23,32,0
20900,MATH,1220,610,SPS,"0","Raul Hernandez","Th 7:00pm - 9:00pm","Contact Department","A Survey of Calculus II","",Open,23,32,0
13451,MATH,1220,800,Lecture,"3","Brianna Kurtz","TuTh 2:00pm - 3:15pm","Minor Hall 130","A Survey of Calculus II","",Open,27,28,2
20902,MATH,1220,810,SPS,"0","Brianna Kurtz","Th 7:00pm - 9:00pm","Contact Department","A Survey of Calculus II","",Open,27,28,2
10750,MATH,1310,100,Lecture,"4","Ruiqi Zou","TuTh 9:30am - 10:45am","Minor Hall 130","Calculus I","",Open,19,28,0
10752,MATH,1310,101,Discussion,"0","Ruiqi Zou","Fr 10:00am - 10:50am","Minor Hall 130","Calculus I","",Open,19,28,0
20889,MATH,1310,110,SPS,"0","Ruiqi Zou","Tu 7:00pm - 9:00pm","Contact Department","Calculus I","",Open,19,28,0
10751,MATH,1310,200,Lecture,"4","Caelan Wang","TuTh 11:00am - 12:15pm","Minor Hall 130","Calculus I","",Open,24,28,0
10753,MATH,1310,201,Discussion,"0","Caelan Wang","Fr 11:00am - 11:50am","Minor Hall 130","Calculus I","",Open,24,28,0
20890,MATH,1310,210,SPS,"0","Caelan Wang","Tu 7:00pm - 9:00pm","Contact Department","Calculus I","",Open,24,28,0
19860,MATH,1310,300,Lecture,"4","Caelan Wang","TuTh 12:30pm - 1:45pm","Minor Hall 130","Calculus I","",Open,26,28,0
19865,MATH,1310,301,Discussion,"0","Caelan Wang","Fr 12:00pm - 12:50pm","Minor Hall 130","Calculus I","",Open,26,28,0
20891,MATH,1310,310,SPS,"0","Caelan Wang","Tu 7:00pm - 9:00pm","Contact Department","Calculus I","",Open,26,28,0
13004,MATH,1310,500,Lecture,"4","Micheal O Cobhthaigh, -","MoWe 2:00pm - 3:15pm","Minor Hall 130","Calculus I","",Open,25,28,0
13005,MATH,1310,501,Discussion,"0","Micheal O Cobhthaigh","Th 5:00pm - 5:50pm","Minor Hall 130","Calculus I","",Open,25,28,0
20893,MATH,1310,510,SPS,"0","Micheal O Cobhthaigh","Tu 7:00pm - 9:00pm","Contact Department","Calculus I","",Open,25,28,0
19863,MATH,1310,600,Lecture,"4","Adam Friedman-Brown, -","MoWe 3:30pm - 4:45pm","Minor Hall 130","Calculus I","",Open,13,28,0
19864,MATH,1310,601,Discussion,"0","Adam Friedman-Brown","Th 4:00pm - 4:50pm","Minor Hall 130","Calculus I","",Open,13,28,0
20894,MATH,1310,610,SPS,"0","Adam Friedman-Brown","Tu 7:00pm - 9:00pm","Contact Department","Calculus I","",Open,13,28,0
11969,MATH,1320,100,Lecture,"4","Shengkuan Yan","TuTh 9:30am - 10:45am","Gibson Hall 041","Calculus II","",Open,26,28,0
11970,MATH,1320,101,Discussion,"0","Wojciech Tralle","Fr 10:00am - 10:50am","Gibson Hall 041","Calculus II","",Open,26,28,0
20916,MATH,1320,110,SPS,"0","Shengkuan Yan","Th 7:00pm - 9:15pm","Contact Department","Calculus II","",Open,26,28,0
10754,MATH,1320,200,Lecture,"4","Bakhyt Aitzhanova, -","TuTh 11:00am - 12:15pm","Gibson Hall 041","Calculus II","",Open,27,28,0
11899,MATH,1320,201,Discussion,"0","Wojciech Tralle","Fr 11:00am - 11:50am","Gibson Hall 041","Calculus II","",Open,27,28,0
20917,MATH,1320,210,SPS,"0","Bakhyt Aitzhanova","Th 7:00pm - 9:15pm","Contact Department","Calculus II","",Open,27,28,0
10755,MATH,1320,300,Lecture,"4","Bakhyt Aitzhanova, -","TuTh 12:30pm - 1:45pm","Gibson Hall 041","Calculus II","",Open,26,27,0
10756,MATH,1320,301,Discussion,"0","Wojciech Tralle","Fr 12:00pm - 12:50pm","Gibson Hall 041","Calculus II","",Open,26,27,0
20918,MATH,1320,310,SPS,"0","Bakhyt Aitzhanova","Th 7:00pm - 9:15pm","Contact Department","Calculus II","",Open,26,27,0
12285,MATH,1320,400,Lecture,"4","Alejandro De Las Penas Castano, -","TuTh 2:00pm - 3:15pm","Gibson Hall 041","Calculus II","",Open,21,28,0
12286,MATH,1320,401,Discussion,"0","Alejandro De Las Penas Castano","Fr 9:00am - 9:50am","Gibson Hall 041","Calculus II","",Open,21,28,0
20919,MATH,1320,410,SPS,"0","Alejandro De Las Penas Castano","Th 7:00pm - 9:15pm","Contact Department","Calculus II","",Open,21,28,0
12660,MATH,1320,500,Lecture,"4","Oscar Arevalo Cordon, -","MoWe 2:00pm - 3:15pm","Gibson Hall 041","Calculus II","",Open,24,28,0
12661,MATH,1320,501,Discussion,"0","Oscar Arevalo Cordon","Th 4:00pm - 4:50pm","Gibson Hall 041","Calculus II","",Open,24,28,0
20920,MATH,1320,510,SPS,"0","Oscar Arevalo Cordon","Th 7:00pm - 9:15pm","Contact Department","Calculus II","",Open,24,28,0
14292,MATH,1320,600,Lecture,"4","Mikhail Tikhonov","MoWe 3:30pm - 4:45pm","Gibson Hall 041","Calculus II","",Open,18,28,0
14293,MATH,1320,601,Discussion,"0","Mikhail Tikhonov","Th 5:00pm - 5:50pm","Gibson Hall 041","Calculus II","",Open,18,28,0
20921,MATH,1320,610,SPS,"0","Mikhail Tikhonov","Th 7:00pm - 9:15pm","Contact Department","Calculus II","",Open,18,28,0
10757,MATH,2310,100,Lecture,"4","David Chasteen-Boyd, -","TuTh 8:00am - 9:15am","New Cabell Hall 323","Calculus III","",Open,35,36,0
10760,MATH,2310,101,Discussion,"0","Astrid Lilly","We 5:00pm - 5:50pm","New Cabell Hall 309","Calculus III","",Open,35,36,0
